                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0825,                 9.1809,                 5.4398,                0.00715,                0.33139,                0.03653,                0.01308,                 4.3262,                 9.5742,                   5.05,             0.00046641,             0.00046641,             0.00046641
                      2,                 3.9033,                 6.5125,                 4.0128,                0.69967,                0.17518,                0.22309,                0.09918,                 3.7078,                  7.191,                 4.0818,             0.00089608,             0.00089608,             0.00089608
                      3,                 3.5943,                 5.4761,                 3.6501,                0.66613,                0.30931,                0.34144,                0.14229,                 3.6592,                 5.7547,                  3.841,              0.0012786,              0.0012786,              0.0012786
                      4,                 3.3691,                 4.8949,                 3.4304,                0.69028,                0.36583,                0.39419,                0.18321,                 3.4463,                 5.0467,                 3.6008,              0.0012168,              0.0012168,              0.0012168
                      5,                  3.383,                 4.4659,                 3.3996,                0.70425,                0.40412,                0.42946,                0.19398,                 3.5005,                 4.3917,                 3.5891,              0.0011461,              0.0011461,              0.0011461
                      6,                 3.2437,                 4.0111,                 3.2301,                0.75625,                 0.4114,                0.48256,                0.22732,                 3.5013,                 3.5774,                 3.5055,              0.0010753,              0.0010753,              0.0010753
                      7,                 3.2466,                 3.7427,                 3.2124,                0.75382,                0.42785,                0.50566,                0.25271,                 3.3254,                 3.1916,                 3.4089,              0.0010046,              0.0010046,              0.0010046
                      8,                 3.1246,                 3.5093,                 3.1529,                0.76187,                0.45042,                0.51894,                0.25704,                 3.3837,                 2.7815,                 3.3851,             0.00093385,             0.00093385,             0.00093385
                      9,                 3.1039,                 3.2195,                 3.0744,                0.78137,                0.46777,                0.62663,                0.31312,                 3.3922,                 2.6512,                 3.3456,             0.00086312,             0.00086312,             0.00086312
                     10,                 3.0562,                 3.1347,                 3.0712,                0.56272,                0.66769,                0.65694,                0.31022,                  3.414,                 2.4979,                 3.4172,             0.00079238,             0.00079238,             0.00079238
                     11,                 3.1051,                 3.1417,                 3.2266,                0.80641,                0.47307,                0.67769,                0.34235,                 3.3201,                 2.4733,                 3.3149,             0.00072164,             0.00072164,             0.00072164
                     12,                 3.0043,                 2.7613,                 3.1121,                0.61998,                0.65991,                0.68883,                0.34498,                 3.2913,                 2.2485,                 3.2661,             0.00065091,             0.00065091,             0.00065091
                     13,                 2.9258,                 2.5866,                 3.0631,                0.63231,                0.70041,                0.69788,                0.37719,                 3.2345,                 2.1353,                 3.2124,             0.00058017,             0.00058017,             0.00058017
                     14,                 2.9108,                 2.4658,                 3.0614,                0.69196,                0.66651,                0.71448,                0.36484,                   3.31,                 2.0611,                 3.2529,             0.00050944,             0.00050944,             0.00050944
                     15,                 2.8724,                 2.3481,                 2.9775,                 0.7051,                0.65824,                0.72905,                0.38023,                 3.2688,                 1.9821,                 3.1759,              0.0004387,              0.0004387,              0.0004387
                     16,                 2.8036,                 2.2703,                 2.9286,                0.71471,                0.70803,                 0.7605,                  0.396,                 3.2363,                 1.9482,                 3.1754,             0.00036797,             0.00036797,             0.00036797
                     17,                 2.8042,                 2.1738,                 2.9192,                0.74405,                0.70785,                0.74906,                0.39264,                 3.2598,                 1.9064,                 3.1618,             0.00029723,             0.00029723,             0.00029723
                     18,                 2.7321,                 2.1197,                 2.8843,                0.79042,                0.70151,                0.76971,                0.39599,                  3.272,                 1.8835,                 3.1663,              0.0002265,              0.0002265,              0.0002265
                     19,                  2.704,                 2.0457,                 2.8343,                0.84974,                0.67838,                 0.7714,                0.40713,                 3.2117,                 1.8578,                 3.1422,             0.00015576,             0.00015576,             0.00015576
                     20,                  2.692,                 2.0178,                 2.8444,                0.76528,                0.73572,                0.78179,                0.41092,                 3.2079,                 1.8386,                 3.1408,             8.5026e-05,             8.5026e-05,             8.5026e-05
